"Volume","pH","Actual Volume","Derivative"
7.62,4.14,0.000,
9,4.30,1.380,0.118
11,4.53,3.380,0.117
13,4.74,5.380,0.103
15,4.93,7.380,0.094
17,5.08,9.380,0.078
19,5.24,11.380,0.080
21.01,5.43,13.390,0.093
23,5.61,15.380,0.092
24,5.75,16.380,0.132
25,5.91,17.380,0.166
25.5,6.00,17.880,0.182
26,6.10,18.380,0.201
26.5,6.24,18.880,0.265
27,6.40,19.380,0.323
27.4,6.63,19.780,0.583
27.62,6.86,20.000,1.060
27.9,7.41,20.280,1.954
28.09,9.53,20.470,11.141
28.15,9.94,20.530,6.807
28.21,10.17,20.590,3.984
28.36,10.57,20.740,2.656
28.52,10.80,20.900,1.388
28.7,10.95,21.080,0.849
28.9,11.12,21.280,0.846
29.32,11.28,21.700,0.396
29.88,11.45,22.260,0.297
30.38,11.56,22.760,0.213
31.5,11.70,23.880,0.131
33,11.84,25.380,0.093
35,11.99,27.380,0.072
38,12.14,30.380,0.053
42.25,12.24,34.630,0.023
